"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ExoRNeasy1_1"	"ExoRNeasy2_2"	"ExoRNeasy3_3"	"ExoRNeasy1_145"	"Nor1"	"Nor2"	"Nor3"
"66"	"hsa-miR-92a-3p"	39437.5002050583	-0.544170508347598	0.18518308028706	-2.93855414600544	0.00329747054060504	0.0201888693163827	35260.4459914435	31369.4188398294	35062.9859359195	30161.1534296689	62612.3034749129	43268.5633429783	38327.6304206553
"67"	"hsa-miR-1301-3p"	359.835144820662	0.948817308796848	0.323237647524833	2.93535519783151	0.00333166069999419	0.0201888693163827	431.751288159712	533.164215012967	502.608508652469	345.255836718195	294.984951395673	189.962333287651	221.118880517966
"68"	"hsa-miR-501-3p"	132.683403447768	-1.44574816316523	0.500934860104103	-2.88610012660084	0.00390048046820613	0.023288162795466	54.5370048201742	80.4518892219055	67.5515751456462	104.072333556202	170.560019290389	141.400533800583	310.210468299476
"69"	"hsa-miR-224-5p"	1575.43507779117	0.602338207857118	0.210651017281686	2.85941276538751	0.00424426133174072	0.0249734797200976	1903.114230704	1818.34905554934	1765.01730288808	1891.47336383892	1434.38180157327	1296.88570394878	918.824086035819
"70"	"hsa-miR-199a-5p"	1438.33202179303	0.615754386183936	0.21941518858225	2.80634349045127	0.00501072473238461	0.0290622034478307	1649.74439581027	1638.35499830711	1654.70372145757	1817.13598272734	1398.03294500319	845.54662636308	1064.80548288263
"71"	"hsa-miR-93-5p"	594.317742352377	0.683683105198533	0.246455272168217	2.77406565168502	0.00553605048924463	0.0316568520934271	748.747628676975	685.204649728941	719.51723618436	682.251964423993	381.662993985871	507.042318173806	435.79740529269
"72"	"hsa-miR-629-5p"	670.67519322663	-1.04048812311449	0.377293774094143	-2.75776647948307	0.00581977564798191	0.0327096313978985	176.109078065146	439.07641236362	450.550414044815	783.020414375237	953.458468492176	821.265726619545	1071.24583862587
"73"	"hsa-miR-335-5p"	49.651015591612	1.96354377641693	0.712894082762063	2.75432749954846	0.00588128840405563	0.0327096313978985	69.3074436256381	72.2703411654405	91.7214047849142	57.8179630867791	25.1645930100574	15.711170422287	15.5641930461675
"74"	"hsa-miR-140-3p"	4117.00296884607	-0.447508589704263	0.163289677931277	-2.74058100532603	0.00613306618500595	0.0336489847447624	3373.34098564786	3717.15000032058	3838.04499887144	3318.75108118112	4579.95592783045	4616.22752771195	5375.55026035909
"75"	"hsa-miR-99b-5p"	4878.46608984358	0.505740084944947	0.186307043382255	2.71455161202518	0.00663655582347686	0.0359258888577547	5351.44359797959	5326.18778475869	5516.91854996828	6148.52738882834	4930.86219702625	3666.41586127369	3208.90724907019
"76"	"hsa-miR-454-5p"	38.996099040226	2.37278820608414	0.878622409046456	2.70057783827669	0.00692191376654054	0.0369775919633613	54.5370048201742	54.5436537097664	95.4398401140323	33.0388360495881	13.9803294500319	17.1394586424949	4.29357049549448
"77"	"hsa-miR-30c-1-3p"	8.98978069155261	6.39054950709043	2.38271927495989	2.68204046286486	0.00731746084982647	0.0385829753899941	18.1790016067247	35.4533749113482	9.29608832279535	0	0	0	0
"78"	"hsa-miR-337-3p"	9.79539243720125	6.51114237405204	2.4497050106865	2.65792915704058	0.0078622417989039	0.0409239765430126	35.2218156130292	32.7261922258598	0.61973922151969	0	0	0	0
"79"	"hsa-miR-218-5p"	8.0145236226852	-6.75155607792068	2.57715745330074	-2.61976856294655	0.00879894593713417	0.0452198993731199	0	0	0	0	0	35.7072055051976	20.3944598535988
"80"	"hsa-miR-744-5p"	2886.39161133625	0.545304065127373	0.210436050618548	2.59130535630434	0.00956126116444397	0.0485234004095531	2866.60131586041	3287.61872735617	3737.02750576373	3459.16613439187	1832.82119089918	2026.74098447502	2994.7654206074
"81"	"hsa-miR-194-5p"	74.3599062122004	-1.82665793394885	0.709493511210907	-2.5745942775872	0.0100357731779237	0.0503027643239138	7.95331320294207	66.8159757944639	35.3251356266223	31.3868942471086	111.842635600255	127.117651598504	140.077737415507
"82"	"hsa-miR-664b-5p"	8.24985440953264	6.25734523968924	2.44940301505912	2.55464094769974	0.0106297383799602	0.0526301680763885	0	14.9995047701858	13.0145236519135	29.7349524446292	0	0	0
"83"	"hsa-miR-221-3p"	2853.0281975459	0.466532227157066	0.183412066567885	2.54362886743	0.0109707580621041	0.0536641900387263	3397.20092525668	3320.34491958203	3019.36948724393	3209.72292221748	2647.87439783604	1885.34045067443	2491.34428001067
"84"	"hsa-miR-409-3p"	2943.20229941856	0.499177568223396	0.197661695547221	2.52541377246328	0.0115562136863796	0.0551979147843545	3563.08431491805	3195.57631172094	2941.28234533245	3763.12342604808	2752.72686871128	1836.77865118737	2549.84417801178
"85"	"hsa-miR-142-3p"	458.144151159628	0.752832457942832	0.297889564205969	2.52721997814701	0.0114969465761627	0.0551979147843545	681.712560252178	576.117342309408	452.409631709374	508.798075163656	262.8301936606	408.490430979461	316.650824042718
"86"	"hsa-miR-320a"	11349.4820194462	-1.24163804307167	0.495573059958355	-2.50545912075206	0.0122292533996204	0.0577334520958825	7592.00554600842	7039.54030691673	7063.16790765991	6951.37110483333	10079.817533473	9915.17682468327	30805.294912549
"87"	"hsa-miR-361-5p"	48.5744051526604	2.05844933232852	0.830157372106071	2.47958929414351	0.0131533791033676	0.0600030552355871	97.7121336361455	23.1810528266507	112.172799095064	54.5140794818203	27.9606589000638	14.282882202079	10.1972299267994
"88"	"hsa-miR-200b-5p"	7.35556251923371	-6.62630154202464	2.66498230662136	-2.48643359678639	0.0129030647192337	0.0600030552355871	0	0	0	0	39.1449224600893	0	12.3440151745466
"89"	"hsa-miR-6515-5p"	8.59459176917531	6.31578881313829	2.54513282051843	2.48151639168749	0.0130824693117777	0.0600030552355871	0	0.68179567137208	24.7895688607876	34.6907778520675	0	0	0
"90"	"hsa-mir-378c"	11.7932361344158	-3.66325755627045	1.48887390065664	-2.46042163453523	0.0138773874903639	0.0626024369009747	2.27237520084059	2.72718268548832	1.23947844303938	1.6519418024794	19.5724612300447	5.71315288083162	49.3760606981865
"91"	"hsa-miR-493-3p"	179.390164574342	1.08323947917576	0.444897976345251	2.43480424000658	0.0148998481724868	0.0664762456926336	165.883389661363	263.854924820995	226.204815854687	272.570397409101	130.017063885297	61.4163934689399	135.784166920013
"92"	"hsa-miR-26b-5p"	2189.51106537409	0.461568263288526	0.193893309117729	2.38052702998776	0.0172878926674273	0.0750305725713163	2414.39865089313	2763.31785607104	2088.52117652136	2654.6704765844	1734.95888474896	2081.01593684292	1589.69447595683
"93"	"hsa-miR-425-5p"	340.934495359536	0.798032738716506	0.335484544284168	2.37874665856601	0.0173716103982851	0.0750305725713163	473.790229375263	336.807061657808	477.818939791681	378.294672767783	178.948216960408	317.079984886155	223.80236207765
"94"	"hsa-miR-766-3p"	8.90708027987146	6.37877131893351	2.6760895588057	2.38361653403718	0.0171434556749519	0.0750305725713163	0	31.3626008831157	30.9869610759845	0	0	0	0
"95"	"hsa-miR-4732-5p"	30.1969618424441	-3.59738005109524	1.55108522406108	-2.31926653370891	0.0203805888501941	0.0861929070122792	0	20.4538701411624	0	0	8.38819767001914	58.5598170285241	123.976848057403
"96"	"hsa-miR-221-5p"	120.963772933106	1.31957179692685	0.568524199494035	2.32104771987053	0.0202842685127848	0.0861929070122792	179.517640866407	224.992571552786	121.468887417859	123.895635185955	39.1449224600893	118.547922277256	39.1788307713871
"97"	"hsa-miR-4446-3p"	372.513620330283	0.661436323990385	0.288127868892691	2.29563466572103	0.0216967789447167	0.0908133221809793	440.840788963075	424.758703264806	422.042409854909	480.715064521506	265.626259550606	321.364849546779	252.247266610301
"98"	"hsa-miR-671-5p"	6.96269891980338	6.00754456734739	2.6403501063996	2.27528332427828	0.0228889391350227	0.0948256049879511	4.54475040168118	0	11.1553059873544	33.0388360495881	0	0	0
"99"	"hsa-miR-30c-5p"	1536.56858058219	1.34130954128103	0.595390393131231	2.25282362086315	0.024270272230801	0.0985373052570518	2360.99783367338	2302.42398222351	2246.55467800888	1387.6311140827	1445.5660651333	762.705909591021	250.100481362553
"100"	"hsa-miR-338-5p"	112.70977435707	-1.17319738281394	0.52055143341784	-2.25375881708931	0.0242113449289577	0.0985373052570518	92.031195634044	63.4069974376035	74.9884458038825	62.7737884942173	92.2701743702106	224.241250572641	179.256568186895
"101"	"hsa-miR-125b-2-3p"	15.3617447943259	-3.5774009206153	1.59702459457533	-2.2400412196323	0.0250882469950016	0.100849784950205	0	8.86334372783704	0	1.6519418024794	40.5429554050925	28.5657644041581	27.9082082207141
"102"	"hsa-miR-582-3p"	34.060405876444	-2.4650065492369	1.10494445788475	-2.23088729179725	0.025688595736394	0.10225068498996	0	17.7266874556741	10.5355667658347	18.1713598272734	19.5724612300447	108.549904735801	63.8668611204804
"103"	"hsa-miR-615-3p"	29.259220149832	-3.43207630119662	1.54528708533845	-2.22099591316065	0.0263512381990296	0.103869929211709	22.7237520084059	0	0	0	29.358691845067	111.406481176217	41.3256160191344
"104"	"hsa-miR-4746-5p"	17.6963785680855	3.28839652442886	1.48961939506176	2.20754142657529	0.0272762561270971	0.106482307573091	28.4046900105074	50.4528796815339	10.5355667658347	26.4310688396704	0	0	8.05044467905215
"105"	"hsa-miR-301a-5p"	7.5641905971289	6.13777298303022	2.83088772488162	2.16814426410602	0.030147711911229	0.116571152723419	28.4046900105074	24.5446441693949	0	0	0	0	0
"106"	"hsa-miR-302a-5p"	54.3654271419214	-2.1909125946	1.01553696908988	-2.15739324247693	0.0309750373067667	0.118640237231578	1.1361876004203	8.86334372783704	8.05660987975597	69.3815557041349	155.181656895354	84.2690049922664	53.669631193681
"107"	"hsa-miR-144-5p"	177.819261947254	0.926857746221656	0.434752735842161	2.13191929528916	0.0330134816970125	0.125266108121375	224.965144883219	284.99059063353	222.486380525569	158.586413038023	163.569854565373	104.265040075177	85.8714099098896
"108"	"hsa-miR-199a-3p|hsa-miR-199b-3p"	1152.41049961074	-0.477602475116347	0.224930857508254	-2.12333016646603	0.0337261945316091	0.12678550907253	1174.81797883459	1042.46558152791	1001.49858197582	725.202451288458	1377.06245082814	1365.44353851876	1380.38291430148
"109"	"hsa-miR-625-3p"	1195.48873649262	0.503853542751976	0.242089128491832	2.08127290098025	0.0374089341070413	0.139066418023072	1478.18006814681	1350.63722498809	1475.59908643838	1164.61897074798	1178.54177263769	1048.3635536326	672.480478856823
"110"	"hsa-miR-1323"	17.139462183582	-3.28530981968595	1.58073774568382	-2.07833957824846	0.037678093553049	0.139066418023072	0	10.9087307419533	0	3.30388360495881	30.7567247900702	64.2729699093557	10.7339262387362
"111"	"hsa-miR-484"	932.745139235313	0.467900948390618	0.226847006848572	2.06262782520625	0.0391480019872857	0.141562357631138	893.043453930353	1037.69301182831	1122.96746939368	1179.48644697029	890.546985967032	679.865192818963	725.613413738567
"112"	"hsa-miR-483-5p"	57.161018769751	-1.57861025330732	0.763854593479804	-2.06663711494596	0.0387683607870735	0.141562357631138	34.0856280126089	16.3630961129299	24.7895688607876	49.5582540743821	79.6878778651818	35.7072055051976	159.935500957169
"113"	"hsa-miR-4443"	176.643569139942	-1.26351219190109	0.614444890445505	-2.05634746345596	0.0397490363791865	0.141562357631138	84.0778824311019	160.903778443811	148.117673943206	46.2543704694233	476.729234246088	257.091879637423	63.3301648085436
"114"	"hsa-miR-3188"	7.06588809393304	6.02823110907199	2.93085278907778	2.05681811503362	0.0397037249018734	0.141562357631138	14.7704388054638	0	0	34.6907778520675	0	0	0
