"Row.names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"E18_Double_KO_1"	"E18_Double_KO_2"	"E18_Double_KO_3"	"E18_WT_2"	"E18_WT_3"	"E18_WT_4"
"52"	"ENSMUSG00000000563"	0.867326476925896	7.02759392738905	5.0761828028613	0.00106697771324179	0.00411933430544927	-1.2109656187652	6.56103970114171	6.88024749928733	6.338917252616	7.49399761076587	7.49218841965845	7.39917308086494
"53"	"ENSMUSG00000000568"	1.29641936112722	7.38142436054265	8.36483009728888	0.0000389670590663618	0.000434234204837046	2.41496459425199	6.69334917086421	6.78212127080165	6.73457119717215	8.01925025528674	7.81404371672695	8.24521055240418
"55"	"ENSMUSG00000000594"	-2.24525750248648	9.05576949284888	-13.096597450948	0.00000150851566426372	0.0000750432409633966	5.96693435508534	10.3005272779262	10.0428039270728	10.1788727293811	7.95857895090715	8.09343773720373	7.76039633460233
"56"	"ENSMUSG00000000600"	-0.665886287377094	5.37569799035908	-4.58224438568682	0.00196901638330493	0.00649076199658254	-1.86800709825797	5.66178591376159	5.88613240341968	5.57754613119456	5.00841698635217	5.12890753775414	4.99139896967234
"60"	"ENSMUSG00000000673"	6.7311992092973	2.11869129504895	6.76780998400517	0.000167543798558865	0.0011250198547476	1.39975709283637	-1.26973956642723	-1.67101215316171	-0.790856393492301	5.88484230123364	6.02439138826981	4.53452219387151
"63"	"ENSMUSG00000000711"	-0.690548560385347	6.07706385235537	-4.54755943307176	0.00205832614127973	0.00668243591678319	-1.93434316321121	6.30970209073292	6.51584491401544	6.44299150363344	5.70733204214443	5.93009575023226	5.55641681337372
"67"	"ENSMUSG00000000743"	-0.841924086408317	6.61386426572057	-6.22496735498298	0.000292021519085125	0.00165237764785129	0.184748732875899	7.07396434515657	6.98219120887227	7.04834739460464	6.31423509348955	6.20874884014225	6.05569871205816
"68"	"ENSMUSG00000000751"	1.68767655071337	5.053506310927	6.09197748148203	0.000336363812147644	0.00180825985258482	0.131912796157836	4.21783253257457	4.79822264050594	3.56166002122848	5.86880170715047	6.01833811348343	5.8561828506191
"69"	"ENSMUSG00000000753"	1.95655114396806	5.5217212488663	5.49763564909029	0.000650037587590642	0.00291333920451044	-0.620150881520207	4.29301165520377	4.40080771033613	4.94739674653437	5.91272133380907	6.3423540939978	7.23403595331667
"71"	"ENSMUSG00000000776"	1.06529674954988	4.52429108303	5.34599192456845	0.000774743246554594	0.00327839053090277	-0.740612958960316	3.82054931890187	4.02757676929144	4.11832237871149	4.85017986774036	4.96093207181144	5.36818609172339
"73"	"ENSMUSG00000000794"	3.45679253854419	1.90951029055574	8.87529851531231	0.0000256370469355416	0.000338558316451616	3.21412835856308	0.604729551488912	-0.0860496524405558	0.0262795493578882	3.51521746431498	3.47227538142032	3.9246094491929
"75"	"ENSMUSG00000000805"	-1.6257312649753	7.48049158902498	-5.38784475356924	0.000737881629221973	0.00317301522891673	-0.794605385768546	7.99157184420152	8.05475172133925	8.82253844274689	6.31979863874404	7.19941576989969	6.49487311721851
"76"	"ENSMUSG00000000811"	-2.25700868137884	3.51556922663895	-9.44789819479512	0.0000164093056319474	0.00026361830676727	3.56243672519826	4.46180575195472	4.97380551285046	4.48038428794621	2.39122874703952	2.42628120767855	2.35990985236424
"77"	"ENSMUSG00000000823"	1.31358022364089	5.8297767250579	8.41413440586454	0.0000373886480848674	0.00042272194834832	2.44860586849393	5.2694192446808	5.02293936561707	5.23151141953615	6.48922225578203	6.65829331925405	6.30727474547732
