"","E18_Double_KO_1","E18_Double_KO_2","E18_Double_KO_3","E18_WT_2","E18_WT_3","E18_WT_4"
"ENSMUSG00000048874",6.86263163230531,6.90162492048612,6.90991357417316,7.0295784605077,6.86768238884132,6.96162625793685
"ENSMUSG00000026064",4.00576419136878,4.1985302836745,4.40741323364397,4.60339327570134,4.3944368772679,4.38237052980269
"ENSMUSG00000026134",3.499326870906,3.55908836331,3.646548918815,3.97971001789748,4.10053813910702,3.84058599556808
"ENSMUSG00000004768",4.07366825587059,4.20181660637317,4.09991453675294,3.81219920207211,3.48403654743266,4.00786495284225
"ENSMUSG00000042215",3.13170886810366,3.27072019165911,4.74015366914813,6.21621661956289,6.7414881869512,5.22805436548051
"ENSMUSG00000042197",5.24648574811135,4.97380551285046,5.00294042327058,5.12422543900279,5.08710572291501,5.54451550356478
"ENSMUSG00000026131",8.42803888569553,8.38833230766271,8.65632525309061,7.13314016381053,7.41108875633677,6.59186405116307
"ENSMUSG00000042111",4.86912949934694,5.14234150951734,4.38097567371467,5.12422543900279,5.23247453946335,5.18440930227914
"ENSMUSG00000026127",4.91744752363616,5.10245677474348,4.66074723501797,5.49875721134397,5.62393399768241,5.23958281185546
"ENSMUSG00000037503",7.21380752752479,7.28337805481848,6.94385322673354,7.41951939480659,7.32406702407012,7.38478290872114
"ENSMUSG00000026123",7.55998316865883,7.49841182551436,7.12999265970614,6.16072150697118,6.32719902642725,5.36668484804902
"ENSMUSG00000045216",7.36374008170782,7.2976546400335,7.99408998198241,6.98256271264877,7.02891473472676,6.57311069154876
"ENSMUSG00000104523",5.89684199194071,5.35061562648766,6.53920681889274,4.88624912244788,4.51970807164682,4.7888393826042
"ENSMUSG00000037470",6.36978203308361,6.53551386271571,6.65642366675011,6.41773698929546,6.94027007230517,6.54285475163638
"ENSMUSG00000010453",6.57282030353417,6.27423657941701,6.8819056727288,6.02681732083065,5.91134513834558,6.19840175181689
"ENSMUSG00000001143",4.77319654872336,4.642475578925,4.59654553887234,4.25992130051787,4.48890887574114,4.28400178491202
"ENSMUSG00000001138",5.19078458921108,5.32673187289792,5.0078853982606,4.56174080649233,4.6593742326491,3.68545523717228
"ENSMUSG00000026121",4.27251848333969,4.96416179351321,4.41487868389054,4.297062035865,4.43539619438232,5.14466788410985
"ENSMUSG00000061518",6.46135314174211,6.1203678289218,6.53321697322662,6.9083428932985,6.86618523468865,6.8644504666027
"ENSMUSG00000037351",6.88844932696411,6.84705082249081,6.82069541570799,6.78153158399134,6.95724523124596,6.73662104679923
"ENSMUSG00000026116",6.82372201544455,6.97404578182277,6.48349402441929,6.15372943331287,6.45270723728136,5.65687404239569
"ENSMUSG00000026113",4.21353879416444,3.50158203505658,4.55322811504723,3.43032856672846,3.75064560211628,4.07559188816249
"ENSMUSG00000026112",5.65229966561574,5.51815349041072,5.32759035164683,5.72316279763263,5.85131680901262,5.76453483649418
"ENSMUSG00000026111",4.81347380182175,5.26051332702711,4.81541661347427,4.94682918812934,4.97905311732715,5.19290576406204
"ENSMUSG00000026110",3.4922548222305,3.92790880514936,4.67636097011159,4.48210698759289,4.85471805626396,5.10560175453804
"ENSMUSG00000026088",4.85816880054152,4.82830225664862,4.95765595450194,4.7194844618989,4.3735127245444,4.74790911854932
"ENSMUSG00000026087",5.39417427568875,4.9583444669179,5.04203362067244,4.8654769763667,4.65070416424237,4.59731484455572
"ENSMUSG00000058407",6.31972432652887,6.17573187008316,6.26752195530185,6.22365512555388,6.07192441929651,6.27962092703927
"ENSMUSG00000026083",8.258388916294,7.84245227331884,8.49333426325349,8.21051887511421,7.87132520626313,8.81143137324804
"ENSMUSG00000026082",5.18202103885714,5.02293936561707,5.38002245594568,5.50731559685429,5.60879446634605,5.4625609564921
"ENSMUSG00000026078",5.81560010293014,5.69647540447613,5.887617993152,5.85928207484761,5.84525027690559,6.03505491859028
"ENSMUSG00000026077",5.41489218453499,5.41291033038338,4.82385345062291,3.3455955182337,2.9461278393622,3.28241028442973
"ENSMUSG00000073702",8.27419446186083,7.30874646460175,8.06104134104843,7.23234664282701,7.09495648991494,7.37324128683845
"ENSMUSG00000003134",5.49136837363678,5.14916680925348,5.32164517136178,3.93690752011014,4.11573787627081,4.46607031127747
"ENSMUSG00000003135",6.05158728025769,6.34058784352208,5.92338912417382,5.5254857997688,5.29612481653175,5.33017822862654
"ENSMUSG00000048234",3.75114780004659,4.90692014549191,3.95381729580917,5.45012243609309,5.74698960822169,4.49108877131431
"ENSMUSG00000026074",7.13766983986179,7.18593205065937,6.97069483895218,6.91525016011981,6.91732128902988,7.09271945427582
"ENSMUSG00000026073",4.42884935602592,5.69647540447613,4.2026885843704,-2.89417347182272,-4.46043150599234,1.53585864143433
"ENSMUSG00000026072",7.42025840499222,7.23768068508079,7.13565140412864,3.51521746431498,3.71116231581059,4.20891247178034
"ENSMUSG00000026070",6.44037806561622,6.34876388057705,5.68796136797198,-5.70152839388033,-2.5859623880762,-0.18340495099842
"ENSMUSG00000060679",4.69219239273925,4.58574692724559,4.57338250625302,4.86737776062176,4.51206969488433,4.95988492394043
"ENSMUSG00000070939",5.26734938056551,5.24943995546389,5.44162163958918,5.60282292778291,5.78551727302929,5.27362551028977
"ENSMUSG00000010290",3.88676491925276,4.02014975139137,3.49982076741062,3.99717627289002,3.77318817076736,4.07926286989098
"ENSMUSG00000008136",5.18640946822077,5.26993760686048,5.03235918347459,4.54995401673988,4.45145977067455,4.74790911854932
"ENSMUSG00000066877",5.60554903179546,5.70228804344668,5.83988743346427,5.61078735280978,5.36981959205179,5.73458560047022
"ENSMUSG00000057363",4.12028604484354,4.60821149077141,4.54304434306114,4.34423126750235,4.03808532061835,4.94386593864564
"ENSMUSG00000041763",6.13341451761176,6.20632311165602,6.35840684372011,6.07613788700043,6.1441217230867,5.97622029707304
"ENSMUSG00000026049",4.78481953236245,5.75245396818771,6.14606192546274,2.99543913235396,2.98527312953345,2.89783489696176
"ENSMUSG00000026047",3.50636442164594,3.83360823924184,3.48571116799519,3.99021512529095,4.09287779345873,4.29351409436772
"ENSMUSG00000041684",3.93971379920172,4.09981689287078,3.20484346907407,4.00064429148522,3.90443270404562,3.81439414080831
"ENSMUSG00000026048",4.81347380182175,4.75189358945047,4.98800298138071,4.36590596687619,4.11321568150098,4.84382679447685
"ENSMUSG00000056870",4.43623833525529,4.27228408887554,3.70860988694725,3.33464521867316,3.26521877494603,3.59090000499229
"ENSMUSG00000026043",9.10566194172945,8.96844915191631,10.1637899963437,11.6313211201975,12.1343547533518,13.0619194810117
"ENSMUSG00000026042",8.50822801490648,8.41264445299081,8.39625998373628,9.19106185409796,9.54884310900881,10.4232710843907
"ENSMUSG00000025995",3.5478836910842,3.99384989473331,3.97921751248584,4.69614623906794,4.64547700257882,5.03930161188328
"ENSMUSG00000025993",6.58616710046249,7.03150687599157,7.08390544940017,7.72800911536915,7.81946920981042,7.83909819292839
"ENSMUSG00000025986",4.24333001581214,4.20509546015018,3.55491844334943,4.40830226039847,4.52919952062412,5.10380063689975
"ENSMUSG00000045954",6.20545342810622,5.94614916994759,5.81612157075235,4.97354652650512,5.25209549444748,5.78378615487791
"ENSMUSG00000026107",5.17982180818601,5.300914535844,6.24780135631701,6.1158550340169,6.06606773314423,6.12482307271298
"ENSMUSG00000018417",5.37122834402267,5.494229855397,5.09875621068438,5.55290975438693,5.32365800028789,5.73807318083314
"ENSMUSG00000026104",5.30011604190372,5.32371840957588,5.55913561981294,3.98672191525285,4.02472693776333,4.81108647017893
"ENSMUSG00000026103",5.98639047754505,6.02061506184239,5.6662312846767,5.13373252474716,5.33560810283743,6.1051516858896
